dataset,arm,control_idx,mean_tokens_removed
pbmc3k,full,72,20.368840030326005
pbmc3k,full,73,20.996588324488247
pbmc3k,full,74,20.789992418498862
pbmc3k,full,75,20.67437452615618
pbmc3k,full,76,20.410538286580742
pbmc3k,full,77,20.727065959059892
pbmc3k,full,78,21.164139499620926
pbmc3k,full,79,20.5841546626232
pbmc3k,full,80,20.260045489006824
pbmc3k,full,81,20.14063684609553
pbmc3k,full,82,20.15693707354056
pbmc3k,full,83,20.380591357088704
pbmc3k,full,84,20.710386656557997
pbmc3k,full,85,20.490144048521607
pbmc3k,full,86,20.46133434420015
pbmc3k,full,87,20.67475360121304
pbmc3k,full,88,20.516679302501895
pbmc3k,full,89,20.598180439727066
pbmc3k,full,90,20.624715693707355
pbmc3k,full,91,20.515163002274452
pbmc3k,full,92,20.636846095526913
pbmc3k,full,93,20.497346474601972
pbmc3k,full,94,20.37111448066717
pbmc3k,full,95,21.136846095526913
pbmc3k,full,96,20.5724033358605
pbmc3k,full,97,20.48521607278241
pbmc3k,full,98,20.64746019711903
pbmc3k,full,99,20.402956785443518
pbmc3k,full,100,20.70773313115997
pbmc3k,full,101,20.56937073540561
pbmc3k,full,102,20.194086429112964
pbmc3k,full,103,20.46019711902957
pbmc3k,full,104,20.20432145564822
pbmc3k,full,105,20.586808188021227
pbmc3k,full,106,19.955648218347232
pbmc3k,full,107,21.08491281273692
pbmc3k,full,108,20.534116755117513
pbmc3k,full,109,20.66262319939348
pbmc3k,full,110,20.273313115996967
pbmc3k,full,111,20.45261561789234
pbmc3k,full,112,20.744882486732372
pbmc3k,full,113,20.467020470053072
pbmc3k,full,114,20.51781652767248
pbmc3k,full,115,20.510614101592115
pbmc3k,full,116,20.051933282789992
pbmc3k,full,117,20.123199393479908
pbmc3k,full,118,20.453752843062926
pbmc3k,full,119,21.1330553449583
pbmc3k,full,120,19.972327520849127
pbmc3k,full,121,20.64708112206217
pbmc3k,full,122,20.899924184988627
pbmc3k,full,123,20.452994692949204
pbmc3k,full,124,20.296436694465505
pbmc3k,full,125,20.53677028051554
pbmc3k,full,126,20.28051554207733
pbmc3k,full,127,20.625473843821077
pbmc3k,full,128,20.441243366186505
pbmc3k,full,129,21.040561031084156
pbmc3k,full,130,20.654283548142534
pbmc3k,full,131,20.99355572403336
pbmc3k,full,132,20.71379833206975
pbmc3k,full,133,20.537907505686125
pbmc3k,full,134,20.537907505686125
pbmc3k,full,135,20.50227445034117
pbmc3k,full,136,20.607278241091738
pbmc3k,full,137,20.27065959059894
pbmc3k,full,138,20.402198635329796
pbmc3k,full,139,20.389689158453375
pbmc3k,full,140,20.787717968157697
pbmc3k,full,141,20.556103108415467
pbmc3k,full,142,20.74639878695982
pbmc3k,full,143,20.675511751326763
pbmc3k,full,144,20.287338893100834
pbmc3k,full,145,20.648218347232753
pbmc3k,full,146,20.619408642911296
pbmc3k,full,147,20.402577710386655
pbmc3k,full,148,20.40068233510235
pbmc3k,full,149,20.79795299469295
pbmc3k,full,150,20.36163760424564
pbmc3k,full,151,20.238438210765732
pbmc3k,full,152,20.451099317664898
pbmc3k,full,153,21.164518574677786
pbmc3k,full,154,20.270280515542076
pbmc3k,full,155,20.305155420773314
pbmc3k,full,156,20.911675511751326
pbmc3k,full,157,21.17210007581501
pbmc3k,full,158,20.315011372251707
pbmc3k,full,159,20.528430629264594
pbmc3k,full,160,20.588703563305536
pbmc3k,full,161,20.58074298711145
pbmc3k,full,162,20.58453373768006
pbmc3k,full,163,20.35557240333586
pbmc3k,full,164,20.08112206216831
pbmc3k,full,165,19.945034116755117
pbmc3k,full,166,20.6565579984837
pbmc3k,full,167,20.3248673237301
pbmc3k,full,168,20.690674753601215
pbmc3k,full,169,20.534495830174375
pbmc3k,full,170,21.065579984836997
pbmc3k,full,171,20.31425322213798
pbmc3k,full,172,20.511372251705836
pbmc3k,full,173,20.863153904473087
pbmc3k,full,174,20.637604245640638
pbmc3k,full,175,21.142911296436694
pbmc3k,full,176,20.322971948445794
pbmc3k,full,177,20.319181197877178
pbmc3k,full,178,21.09552691432904
pbmc3k,full,179,20.40636846095527
pbmc3k,full,180,20.684609552691434
pbmc3k,full,181,20.796815769522365
pbmc3k,full,182,21.113343442001515
pbmc3k,full,183,19.953752843062926
pbmc3k,full,184,20.96398786959818
pbmc3k,full,185,20.501895375284306
pbmc3k,full,186,20.40371493555724
pbmc3k,full,187,20.714556482183472
pbmc3k,full,188,20.085670962850646
pbmc3k,full,189,21.24715693707354
pbmc3k,full,190,20.862774829416225
pbmc3k,full,191,20.32221379833207
pbmc3k,full,192,20.634192570128885
pbmc3k,full,193,20.594768764215313
pbmc3k,full,194,20.938210765731615
pbmc3k,full,195,20.168309325246398
pbmc3k,full,196,21.169067475360123
pbmc3k,full,197,20.582259287338893
pbmc3k,full,198,20.741849886277482
pbmc3k,full,199,20.67399545109932
pbmc3k,no_ribo_mito,0,9.44010614101592
pbmc3k,no_ribo_mito,1,9.166793025018954
pbmc3k,no_ribo_mito,2,9.258529188779379
pbmc3k,no_ribo_mito,3,9.094389689158453
pbmc3k,no_ribo_mito,4,9.101213040181957
pbmc3k,no_ribo_mito,5,9.235026535253981
pbmc3k,no_ribo_mito,6,9.283548142532222
pbmc3k,no_ribo_mito,7,9.109931766489765
pbmc3k,no_ribo_mito,8,8.982941622441244
pbmc3k,no_ribo_mito,9,9.079226686884002
pbmc3k,no_ribo_mito,10,9.335481425322214
pbmc3k,no_ribo_mito,11,9.248294162244123
pbmc3k,no_ribo_mito,12,9.176269901440484
pbmc3k,no_ribo_mito,13,9.470432145564821
pbmc3k,no_ribo_mito,14,9.363532979529946
pbmc3k,no_ribo_mito,15,9.303639120545869
pbmc3k,no_ribo_mito,16,8.929492039423806
pbmc3k,no_ribo_mito,17,9.31956027293404
pbmc3k,no_ribo_mito,18,9.312736921910538
pbmc3k,no_ribo_mito,19,9.27407126611069
pbmc3k,no_ribo_mito,20,9.206216830932524
pbmc3k,no_ribo_mito,21,9.280515542077332
pbmc3k,no_ribo_mito,22,9.061789234268385
pbmc3k,no_ribo_mito,23,9.190674753601213
pbmc3k,no_ribo_mito,24,9.123957543593631
pbmc3k,no_ribo_mito,25,9.37680060652009
pbmc3k,no_ribo_mito,26,9.378316906747536
