dataset,arm,control_idx,mean_tokens_removed
tabula_sapiens,no_ribo_mito,19,9.873437101301352
tabula_sapiens,no_ribo_mito,20,9.233222760908395
tabula_sapiens,no_ribo_mito,21,9.392957387088543
tabula_sapiens,no_ribo_mito,22,9.583567236539933
tabula_sapiens,no_ribo_mito,23,9.669303393722888
tabula_sapiens,no_ribo_mito,24,10.091094667006889
tabula_sapiens,no_ribo_mito,25,9.835927532533809
tabula_sapiens,no_ribo_mito,26,9.698902781321765
tabula_sapiens,no_ribo_mito,27,9.376626690482265
tabula_sapiens,no_ribo_mito,28,9.592753253380964
tabula_sapiens,no_ribo_mito,29,10.192140852258229
tabula_sapiens,no_ribo_mito,30,9.294718040316408
tabula_sapiens,no_ribo_mito,31,9.647614187292676
tabula_sapiens,no_ribo_mito,32,9.38121969890278
tabula_sapiens,no_ribo_mito,33,9.762694564940036
tabula_sapiens,no_ribo_mito,34,9.739474355702985
tabula_sapiens,no_ribo_mito,35,9.51033426894616
tabula_sapiens,no_ribo_mito,36,9.557285021689207
tabula_sapiens,no_ribo_mito,37,9.521561622862976
tabula_sapiens,no_ribo_mito,38,9.67185506506762
tabula_sapiens,no_ribo_mito,39,9.546823169175811
tabula_sapiens,no_ribo_mito,40,9.7440673641235
tabula_sapiens,no_ribo_mito,41,9.362337330951773
tabula_sapiens,no_ribo_mito,42,9.782087267159989
tabula_sapiens,no_ribo_mito,43,9.501403419239601
tabula_sapiens,no_ribo_mito,44,9.612911457004337
tabula_sapiens,no_ribo_mito,45,9.453176830824189
tabula_sapiens,no_ribo_mito,46,9.919877519775453
tabula_sapiens,no_ribo_mito,47,9.447307986731309
tabula_sapiens,no_ribo_mito,48,9.416943097729012
tabula_sapiens,no_ribo_mito,49,9.414901760653228
tabula_sapiens,no_ribo_mito,50,9.312579739729523
tabula_sapiens,no_ribo_mito,51,9.672365399336565
tabula_sapiens,no_ribo_mito,52,9.512120438887472
tabula_sapiens,no_ribo_mito,53,9.802245470783364
tabula_sapiens,no_ribo_mito,54,9.970400612401123
tabula_sapiens,no_ribo_mito,55,10.048992089818832
tabula_sapiens,no_ribo_mito,56,9.697371778514928
tabula_sapiens,no_ribo_mito,57,9.525389129880072
tabula_sapiens,no_ribo_mito,58,9.589691247767288
tabula_sapiens,no_ribo_mito,59,9.51773411584588
tabula_sapiens,no_ribo_mito,60,9.716509313600408
tabula_sapiens,no_ribo_mito,61,9.364889002296504
tabula_sapiens,no_ribo_mito,62,9.6047461087012
tabula_sapiens,no_ribo_mito,63,9.041081908650165
tabula_sapiens,no_ribo_mito,64,9.338606787445777
tabula_sapiens,no_ribo_mito,65,9.560857361571829
tabula_sapiens,no_ribo_mito,66,9.295228374585353
tabula_sapiens,no_ribo_mito,67,9.768053074763971
tabula_sapiens,no_ribo_mito,68,9.832355192651187
tabula_sapiens,no_ribo_mito,69,9.692778770094412
tabula_sapiens,no_ribo_mito,70,9.828527685634091
tabula_sapiens,no_ribo_mito,71,9.6379178361827
tabula_sapiens,no_ribo_mito,72,9.623373309517735
tabula_sapiens,no_ribo_mito,73,9.445266649655524
tabula_sapiens,no_ribo_mito,74,9.935442714978311
tabula_sapiens,no_ribo_mito,75,9.919877519775453
tabula_sapiens,no_ribo_mito,76,9.41592242919112
tabula_sapiens,no_ribo_mito,77,9.607297780045931
tabula_sapiens,no_ribo_mito,78,9.411329420770604
tabula_sapiens,no_ribo_mito,79,9.663434549630008
tabula_sapiens,no_ribo_mito,80,9.709364633835163
tabula_sapiens,no_ribo_mito,81,9.362592498086247
tabula_sapiens,no_ribo_mito,82,9.742026027047716
tabula_sapiens,no_ribo_mito,83,9.681551416177596
tabula_sapiens,no_ribo_mito,84,9.483286552692013
tabula_sapiens,no_ribo_mito,85,9.510844603215105
tabula_sapiens,no_ribo_mito,86,9.745853534064812
tabula_sapiens,no_ribo_mito,87,9.590201582036233
tabula_sapiens,no_ribo_mito,88,9.748660372544016
tabula_sapiens,no_ribo_mito,89,9.430211788721612
tabula_sapiens,no_ribo_mito,90,9.543250829293187
tabula_sapiens,no_ribo_mito,91,9.498341413625925
tabula_sapiens,no_ribo_mito,92,9.856851237560603
tabula_sapiens,no_ribo_mito,93,9.33707578463894
tabula_sapiens,no_ribo_mito,94,9.818321000255168
tabula_sapiens,no_ribo_mito,95,9.563664200051033
tabula_sapiens,no_ribo_mito,96,9.87318193416688
tabula_sapiens,no_ribo_mito,97,9.596835927532533
tabula_sapiens,no_ribo_mito,98,9.558816024496045
tabula_sapiens,no_ribo_mito,99,9.464149017606532
