gene,token_id,norm,dist_from_centroid,cos_to_centroid,norm_zscore,dist_zscore,cos_zscore,is_outlier,pca_1,pca_2,isolation_score,isolation_zscore,anomaly_score
FBXW8,5578,27.347347,27.34073,0.03108184,-0.50361717,-0.51168007,0.62557495,False,0.64272493,-1.1288255,0.87647116,0.8908767,0.8908767
FBXW9,5579,27.598745,27.60247,-0.010401908,-0.13667819,-0.1296128,-0.5497649,False,1.6265585,-0.5444862,0.87396175,0.27638388,0.5497649
FCAMR,5580,27.958311,27.959269,0.0006166217,0.38814154,0.39121336,-0.23758195,False,-4.184894,0.06773131,0.8718753,-0.23453803,0.39121336
FCAR,5581,27.735811,27.725904,0.044195786,0.06338226,0.05056662,0.9971263,False,-0.32876086,-0.16452359,0.8684498,-1.073352,1.073352
FCER1A,5582,27.778496,27.788994,-0.03758939,0.12568435,0.14265956,-1.3200552,False,0.2415142,0.73180044,0.87221515,-0.15131345,1.3200552
FCER1G,5583,27.86671,27.88602,-0.072929144,0.2544422,0.28429174,-2.32132,False,-2.794834,-0.40839285,0.87680864,0.9735175,2.32132
FCER2,5584,26.248154,26.251171,-0.007335876,-2.1079926,-2.1021342,-0.4628964,False,0.24397703,1.496631,0.87077254,-0.5045728,2.1079926
FCF1,5585,27.58576,27.581768,0.020527571,-0.15563133,-0.1598325,0.32654575,False,0.46021983,-2.9274726,0.8643945,-2.0663984,2.0663984
FCGBP,5586,27.529064,27.53275,-0.010237593,-0.23838435,-0.23138641,-0.54510945,False,0.17254983,-0.6162483,0.87033653,-0.6113402,0.6113402
FCGR1A,5587,27.786987,27.788374,-0.0010641561,0.13807851,0.1417547,-0.28520268,False,-1.8404841,-0.3403947,0.87505054,0.5430032,0.5430032
FCGR2A,5588,27.67309,27.680527,-0.02530312,-0.028165255,-0.015672255,-0.971954,False,-2.0292094,-1.2436464,0.87007105,-0.6763494,0.971954
FCGR2B,5589,28.120583,28.120724,0.0038729273,0.62499195,0.626893,-0.14532258,False,1.8445909,-0.51340055,0.8726252,-0.050909743,0.626893
FCGR2C,5590,26.907562,26.895727,0.052058592,-1.1455244,-1.1612614,1.2198995,False,0.21827163,0.32646397,0.87316644,0.08163366,1.2198995
FCGR3A,5591,26.849165,26.843569,0.027077116,-1.2307607,-1.2373981,0.51211095,False,1.0581634,0.18508421,0.8780632,1.2807275,1.2807275
FCGR3B,5592,27.587864,27.58312,0.023525706,-0.15256064,-0.1578585,0.4114905,False,0.35145143,-1.4580071,0.87234944,-0.11842938,0.4114905
FCGRT,5593,27.621624,27.628242,-0.02201302,-0.103284664,-0.09199271,-0.87873715,False,0.65619963,0.57369417,0.8693758,-0.84659344,0.87873715
FCHO1,5594,28.338459,28.328556,0.044087555,0.9430029,0.93027043,0.9940598,False,-1.2517153,-0.688201,0.87769014,1.189373,1.189373
FCHO2,5595,28.720865,28.727747,-0.023243373,1.5011605,1.5129782,-0.9135961,False,2.5183434,1.3417001,0.8772885,1.0910274,1.5129782
FCHSD1,5596,28.361021,28.355871,0.025040071,0.97593427,0.97014296,0.45439628,False,-0.95086026,-1.2144068,0.8746483,0.44449696,0.97593427
FCHSD2,5597,27.549496,27.540674,0.039874688,-0.20856264,-0.21981807,0.8746986,False,0.9179552,0.65130395,0.88237476,2.336521,2.336521
FCMR,5598,26.530146,26.543522,-0.048914768,-1.6963991,-1.6753833,-1.6409318,False,1.2154442,0.16362566,0.8676964,-1.2578415,1.6963991
